ISO;Score 2025;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
GEO;5053;114;3425;132;3744;110;578;100;5688;102;6631;109;EEAC;Géorgie;Georgia;Georgia;Geórgia ;??????;???????;2025;103;-11;5305;-2,52
COL;498;115;485;83;3543;123;6916;55;458;132;5012;121;Amériques;Colombie;Colombia;Colombia;Colômbia ;????????;??????;2025;119;4;4963;0,17
PHL;4957;116;3962;113;3958;102;524;116;5469;111;6157;111;Asie-Pacifique;Philippines;Philippines;Filipinas;Filipinas ;???????;??????;2025;134;18;4336;6,21
KEN;4941;117;3591;130;3183;146;598;93;5312;115;6639;108;Afrique;Kenya;Kenya;Kenia;Quênia ;?????;????;2025;102;-15;5322;-3,81
GNQ;4868;118;3207;136;2774;160;4957;120;5041;120;8363;74;Afrique;Guinée Équatoriale;Equatorial Guinea;Guinea Ecuatorial;Guiné Equatorial ;????? ??????????;???? ???????;2025;127;9;4649;2,19
MLI;4823;119;4291;99;44079;76;5533;106;5906;95;3975;141;Afrique;Mali;Mali;Malí;Mali ;????;????;2025;114;-5;5056;-2,33
MAR;4804;120;4425;97;3621;115;5136;117;5272;116;5566;115;MENA;Maroc / Sahara occ.;Morocco / Western Sahara ;Marruecos / Sáhara Occidental;Marrocos / Saara Ocidental ;??????/??????? ???????;?????/????? ????;2025;129;9;4597;2,07
TGO;4803;121;3818;121;3601;119;4685;130;5825;96;6087;113;Afrique;Togo;Togo;Togo;Togo ;????;????;2025;113;-8;5089;-2,86
NGA;4681;122;4234;100;4254;81;5276;115;6302;79;3338;152;Afrique;Nigeria;Nigeria;Nigeria;Nigéria ;???????;??????;2025;112;-10;5103;-4,22
KOR;6406;61;4877;79;5511;41;6923;54;5912;93;8805;52;Asie-Pacifique;Corée du Sud;South Korea;Corea del Sur;Coreia do Sul ;????? ????????;??? ?????;2025;62;1;6487;-0,81
MEX;4555;124;4786;84;3659;113;6088;91;5472;110;277;163;Amériques;Mexique;Mexico;México;México ;???????;?????;2025;121;-3;4901;-3,46
BDI;4544;125;4198;101;3861;106;4786;126;5035;121;4839;123;Afrique;Burundi;Burundi;Burundi;Burundi ;???????;??????;2025;108;-17;5178;-6,34
DZA;4464;126;389;116;3229;144;4803;125;463;129;5768;114;MENA;Algérie;Algeria;Argelia;Argélia ;???????;???????;2025;139;13;4198;2,66
IDN;4413;127;3659;127;3257;142;5479;109;4966;123;4704;125;Asie-Pacifique;Indonésie;Indonesia;Indonesia;Indonésia ;?????????;???????;2025;111;-16;5115;-7,02
SRB;5355;96;3052;141;3516;125;6809;63;5395;113;8006;82;UE Balkans;Serbie;Serbia;Serbia;Sérvia ;?????;???????;2025;98;2;5448;-0,93
TUN;4348;129;3842;120;3297;139;4721;128;5488;109;4393;133;MENA;Tunisie;Tunisia;Túnez;Tunísia ;????;????;2025;118;-11;4997;-6,49
PER;4288;130;3186;138;3542;124;5321;114;4472;136;4919;122;Amériques;Pérou;Peru;Peru;Peru ;????;???;2025;125;-5;4776;-4,88
CMR;4275;131;4111;107;3284;141;4936;121;5739;99;3304;153;Afrique;Cameroun;Cameroon;Camerún;Camarões ;?????????;??????;2025;130;-1;4495;-2,2
