ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_FR;Country_EN;Country_ES;Country_PT;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution;Score N-1;Score evolution
BRA;5867;92;5579;82;5259;59;7244;51;7622;57;363;149;Amériques;Brésil;Brazil;Brasil;Brasil ;البرازيل;برزیل;2023;110;18;5536;3,31
CSS;5836;93;5547;87;4534;99;5401;119;5994;101;7704;80;Amériques;OÉCO;OECS;OECO;OECO;الكاريبي;جزایر کارائیب شرقی;2023;55;-38;6849;-10,13
GAB;5812;94;4833;122;4657;90;5739;106;5814;111;8017;68;Afrique;Gabon;Gabon;República Gabonesa;Gabão ;الغابون;گابون;2023;105;11;56;2,12
NPL;5789;95;5844;72;4461;106;6627;76;6108;95;5904;106;Asie-Pacifique;Népal;Nepal;Nepal;Nepal ;نيبال;نپال;2023;76;-19;6267;-4,78
ALB;5786;96;4776;124;3513;148;6761;68;6837;77;7045;93;UE Balkans;Albanie;Albania;Albania;Albânia ;ألبانيا;آلبانی;2023;103;7;5641;1,45
ISR;5757;97;6271;59;5752;45;4717;132;7614;58;443;134;MENA;Israël;Israel;Israel;Israel ;إسرائيل;اسرائیل;2023;86;-11;5962;-2,05
CAF;5756;98;5339;99;4902;74;6388;86;6656;78;5497;112;Afrique;République centrafricaine;Central African Republic;República Centroafricana;República Centro-Africana ;جمهورية أفريقيا الوسطى;جمهوری آفریقای مرکزی;2023;101;3;5696;0,6
HTI;5738;99;5938;71;4818;79;6995;61;7338;69;3602;152;Amériques;Haïti;Haiti;Haití;Haiti ;هايتي;هايیتی;2023;70;-29;6455;-7,17
MDV;5693;100;5375;97;3284;161;5991;98;5568;124;8248;57;Asie-Pacifique;Maldives;Maldives;Maldivas;Maldivas ;المالديف;مالدیو;2023;87;-13;5955;-2,62
MDG;5666;101;4903;117;3671;139;6069;94;5846;109;7839;75;Afrique;Madagascar;Madagascar;Madagascar;Madagascar ;مدغشقر;ماداگاسکار;2023;98;-3;5802;-1,36
MOZ;5613;102;4917;115;4651;91;6698;70;6528;83;5273;119;Afrique;Mozambique;Mozambique;Mozambique;Moçambique ;موزمبيق;موزامبیک;2023;116;14;4989;6,24
PRY;5596;103;5706;78;4216;117;7085;56;6125;94;4851;129;Amériques;Paraguay;Paraguay;Paraguay;Paraguai ;باراغواي;پاراگوئه;2023;96;-7;5836;-2,4
SEN;5582;104;5643;79;4608;93;5566;115;6542;82;5551;111;Afrique;Sénégal;Senegal;Senegal;Senegal ;السنغال;سنگال;2023;73;-31;6307;-7,25
QAT;5528;105;5313;102;50;69;3821;151;5114;133;8393;47;MENA;Qatar;Qatar;Catar;Catar ;قطر;قطر;2023;119;14;4903;6,25
THA;5524;106;5953;70;5147;63;5142;124;5625;120;5754;109;Asie-Pacifique;Thaïlande;Thailand;Tailandia;Tailândia ;تايلاند;تایلند;2023;115;9;5015;5,09
GRC;552;107;5331;100;3766;134;6136;92;5223;130;7144;91;UE Balkans;Grèce;Greece;Grecia;Grécia ;اليونان;یونان;2023;108;1;5552;-0,32
IDN;5483;108;5516;91;4461;106;6392;85;5597;123;5449;115;Asie-Pacifique;Indonésie;Indonesia;Indonesia;Indonésia ;أندونيسيا;اندونزی;2023;117;9;4927;5,56
TCD;5373;109;533;101;5294;57;5863;102;6916;75;3462;154;Afrique;Tchad;Chad;Chad;Chade ;تشاد;چاد;2023;104;-5;5618;-2,45
PER;5274;110;5799;75;4281;115;6394;84;5694;116;42;140;Amériques;Pérou;Peru;Peru;Peru ;بيرو;پرو;2023;77;-33;6175;-9,01
SWZ;5266;111;4661;126;4398;111;4528;137;5601;122;7144;91;Afrique;Swaziland;Eswatini;Esuatini;Eswatini ;إسواتيني;اسواتینی ;2023;131;20;4642;6,24
BEN;5244;112;4898;119;3983;125;5601;111;6349;89;539;117;Afrique;Bénin;Benin;Benín;Benim ;بنين;بنین;2023;121;9;4839;4,05
MLI;5229;113;5263;105;3882;131;5509;117;55;125;5988;105;Afrique;Mali;Mali;Malí;Mali ;مالي;مالی;2023;111;-2;5448;-2,19
BDI;5214;114;515;109;4882;75;5541;116;5212;131;5284;118;Afrique;Burundi;Burundi;Burundi;Burundi ;بوروندي;بروندی;2023;107;-7;5574;-3,6
SLV;5136;115;3813;157;4147;119;5585;114;4932;137;7203;89;Amériques;Salvador;El Salvador;El Salvador;El Salvador ;السلفادور;ال‌سالوادور;2023;112;-3;5409;-2,73
KEN;5115;116;4917;115;4052;121;6682;71;5625;120;4299;136;Afrique;Kenya;Kenya;Kenia;Quênia ;كينيا;کنیا;2023;69;-47;6459;-13,44
BOL;5109;117;4653;127;4572;96;6012;97;564;119;4668;130;Amériques;Bolivie;Bolivia;Bolivia;Bolívia ;بوليفيا;بلیوی;2023;126;9;4758;3,51
SSD;5062;118;4946;114;4832;78;5606;110;4773;141;5154;123;Afrique;Soudan du Sud;South Sudan;Sudán del Sur;Sudão do Sul ;جمهورية جنوب السودان;سودان جنوبی;2023;128;10;4706;3,56
LBN;5046;119;5163;108;3569;147;4811;130;5886;106;58;108;MENA;Liban;Lebanon;Líbano;Líbano ;لبنان;لبنان;2023;130;11;4658;3,88
GNQ;5035;120;4385;136;3693;138;5792;104;3958;150;7347;87;Afrique;Guinée Équatoriale;Equatorial Guinea;Guinea Ecuatorial;Guiné Equatorial ;غينيا الاستوائية;گینه اکوادور;2023;141;21;4396;6,39
TUN;5011;121;5813;74;3497;150;4906;128;5379;127;546;114;MENA;Tunisie;Tunisia;Túnez;Tunísia ;تونس;تونس;2023;94;-27;5849;-8,38
KGZ;4991;122;4813;123;4725;86;5019;127;4909;138;5491;113;EEAC;Kirghizistan;Kyrgyzstan;Kirguistán;Quirguistão ;قرغيزستان;قرقیزستان;2023;72;-50;6425;-14,34
NGA;4956;123;5196;107;4412;110;5054;126;638;88;3738;147;Afrique;Nigeria;Nigeria;Nigeria;Nigéria ;نيجيريا;نیجریه;2023;129;6;4679;2,77
COD;4855;124;5103;110;4436;109;52;122;5994;101;3542;153;Afrique;RD Congo;DR Congo;RD Congo;RD Congo;جمهورية الكونغو الديمقراطية;جمهوری دمکراتیک کنگو;2023;125;1;4766;0,89
AGO;483;125;4357;137;3179;163;5121;125;5471;126;602;104;Afrique;Angola;Angola;Angola;Angola ;أنغولا;آنگولا;2023;99;-26;5717;-8,87
ZWE;4817;126;4208;143;3758;135;5739;106;608;96;4298;137;Afrique;Zimbabwe;Zimbabwe;Zimbabue;Zimbábue ;زيمبابوي;زیمبابوه;2023;137;11;4494;3,23
GTM;4812;127;4264;140;4009;124;6415;81;5758;113;3615;151;Amériques;Guatemala;Guatemala;Guatemala;Guatemala ;غواتيمالا;گواتمالا;2023;124;-3;4794;0,18
MEX;4798;128;5538;88;4735;85;6632;75;4716;142;2368;174;Amériques;Mexique;Mexico;México;México ;المكسيك;مکزیک;2023;127;-1;4757;0,41
SGP;4788;129;3875;155;424;116;2736;168;5199;132;7889;74;Asie-Pacifique;Singapour;Singapore;Singapur;Cingapura ;سنغافورة;سنگاپور;2023;139;10;4423;3,65
